firm,pros,cons,sentiment,rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt
Student-Loans-Company,good working environment and relaxed culture,the pay is not that great,Positive,4,5.0,4.0,3.0,2.0,2.0,3.0
Pizza-Hut,somewhat laid back in the beginning learn how to make pizza thats about it,no benefits nothing is fresh as they claim it is everyone is super fake,Negative,1,1.0,1.0,3.0,1.0,1.0,1.0
Citi,gain experience in banking industry,not enough pressure or responsibilities,Positive,4,4.0,4.0,3.0,4.0,4.0,4.0
KPMG,brand name exposure career progression team ethics,salary work load compensation limitation resource,Positive,4,3.0,5.0,5.0,4.0,3.0,5.0
EY,safe and pay is moderate,work life balance is not the best,Positive,4,3.0,4.0,3.0,4.0,3.0,4.0
KPMG,good opportunities for networking and client experience very friendly work culture with great social events,long hours lower pay than in industry,Positive,4,2.0,5.0,3.0,5.0,3.0,4.0
HSBC-Holdings,huge network provides one a lot of opportunities within the bank,bureaucracy similar to any other large firm,Positive,4,4.0,5.0,5.0,4.0,3.0,3.0
IBM,flexibility is one of the best part about working at ibm,the promation speed is slow,Positive,5,5.0,5.0,3.0,5.0,4.0,3.0
HSBC-Holdings,learning opporturnities and great company,high workload demanding and busy,Neutral,3,4.0,4.0,5.0,4.0,3.0,3.0
BT,good exposure to telecomm networks,still to catch up on new technologies in the market,Positive,5,5.0,5.0,5.0,5.0,5.0,5.0
American-Express,good in terms of managementfacilities,no worklife balance you gotta work for hoursany shift within hours of the day,Positive,4,1.0,5.0,3.0,1.0,4.0,3.0
Square-Enix,working for one of the best gaming companies,not much worklife balance but everywhere is like that in japan,Neutral,3,2.0,3.0,3.0,4.0,2.0,3.0
Sky,good bonuses if you dont care about conning people into crap they dont need,they turn it into a high pressure sales job with ridiculous shift patterns that rely on your life revolving around work,Neutral,3,1.0,3.0,4.0,3.0,4.0,1.0
EY,a lot of opportunity for client serving,limited opportunity for core business services,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
Primark,great working environment good amount of overtime available,the salary was low very busy most of the time,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
PwC,the people some amazing quality people at the firm from whom you learn professionally and personally,could be better paid and promotion depends on who sponsors you,Positive,4,3.0,4.0,3.0,4.0,3.0,4.0
Deloitte,pay is average and the working conditions are good enough,theres nothing remarkable about this company,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
Deloitte,great company great benefits great team to work with learned alot,there is rarely any room for growth or shall i say moving up the ladder fixed price contracts mean that there is rarely any room for a salary increase or move up in position you are basically stuck where you are until you get out,Positive,4,3.0,3.0,3.0,4.0,5.0,2.0
Deloitte,good exposure and excellent learning,long working hours and hard deadlines,Positive,4,3.0,3.0,3.0,5.0,3.0,3.0
IBM,excellent support from management for worklife balance,need more flexibility in adoption of technology,Positive,4,5.0,5.0,3.0,5.0,5.0,5.0
Debenhams,time goes faster when it is busy over the christmas period,felt a bit excluded from the team,Negative,2,4.0,2.0,1.0,3.0,3.0,2.0
Citi,good mentors offered good mentorship and good culture,no cons as of now,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
EY,good stepping stone to career,some managers are not nice very self centred to their own development without caring about junior staff,Neutral,3,1.0,2.0,3.0,2.0,2.0,2.0
Bloomberg-L-P,community benefits bob work people,no workfrom home full time,Positive,5,5.0,5.0,5.0,5.0,5.0,5.0
